Attribute ,DataType,Description
SK_ID_PREV,NUMBER,ID of previous credit in Home credit related to loan in our sample. Can have multiple rows in Home Credit.
SK_ID_CURR,NUMBER,ID of loan in main sample
MONTHS_BALANCE,NUMBER,Month of balance relative to application date (-1 means the freshest balance date)
AMT_BALANCE,NUMBER,Balance during the month of previous credit
AMT_CREDIT_LIMIT_ACTUAL,NUMBER,Credit card limit during the month of the previous credit
AMT_DRAWINGS_ATM_CURRENT,NUMBER,Amount drawing at ATM during the month of the previous credit
AMT_DRAWINGS_CURRENT,NUMBER,Amount drawing during the month of the previous credit
AMT_DRAWINGS_OTHER_CURRENT,NUMBER,Amount of other drawings during the month of the previous credit
AMT_DRAWINGS_POS_CURRENT,NUMBER,Amount drawing or buying goods during the month of the previous credit
AMT_INST_MIN_REGULARITY,NUMBER,Minimal installment for this month of the previous credit
AMT_PAYMENT_CURRENT,NUMBER,Amount client paid during the month on the previous credit
AMT_PAYMENT_TOTAL_CURRENT,NUMBER,How much did the client pay during the month in total on the previous credit
AMT_RECEIVABLE_PRINCIPAL,NUMBER,Amount receivable for principal on the previous credit
AMT_RECIVABLE,NUMBER,Amount receivable on the previous credit
AMT_TOTAL_RECEIVABLE,NUMBER,Total amount receivable on the previous credit
CNT_DRAWINGS_ATM_CURRENT,NUMBER,Number of drawings at ATM during this month on the previous credit
CNT_DRAWINGS_CURRENT,NUMBER,Number of drawings during this month on the previous credit
CNT_DRAWINGS_OTHER_CURRENT,NUMBER,Number of other drawings during this month on the previous credit
CNT_DRAWINGS_POS_CURRENT,NUMBER,Number of drawings for goods during this month on the previous credit
CNT_INSTALMENT_MATURE_CUM,NUMBER,Number of paid installments on the previous credit
NAME_CONTRACT_STATUS,STRING,Contract status on the previous credit
SK_DPD,NUMBER,DPD (Days past due) during the month on the previous credit
SK_DPD_DEF,NUMBER,DPD (Days past due) during the month with tolerance (debts with low loan amounts are ignored) of the previous credit